sample_id,text_prompt,category,style,quality_level,color_palette,aspect_ratio,prompt_length,word_count,complexity_score,text_sentiment,text_clarity,text_specificity,image_width,image_height,image_channels,color_depth,noise_level,sharpness_score,brightness,contrast,saturation,hue_variance,edge_density,texture_score,composition_score,aesthetic_score,clip_score,fid_score,inception_score,ssim_score,psnr_score,generation_time_img,gpu_memory_img,inference_steps,guidance_scale,seed_value,video_fps,video_duration,total_frames,video_width,video_height,video_bitrate,compression_ratio,motion_score,temporal_consistency,scene_coherence,transition_type,video_quality_score,optical_flow_score,video_sentiment,generation_time_vid,gpu_memory_vid,model_version,batch_size,learning_rate,epoch_trained,training_loss,validation_loss,perceptual_loss,adversarial_loss,user_rating,expert_rating,human_preference_score,prompt_adherence,creative_score,technical_quality,dataset_split,overall_quality_score,quality_label,quality_class
734,A colorful forest scene during storm,sports,sketch,high,vibrant,4:3,167,19,0.3126,0.8885,0.7178,0.4026,768,256,3,16,0.0226,0.7395,0.6562,0.5218,0.6752,0.7481,0.3428,0.2999,0.6159,0.4249,0.5135,33.3018,1.6791,0.5234,42.8917,9.9104,2.0104,59,14.7314,327404,30,42.17,859,1080,1080,5418,0.7605,0.3954,0.6911,0.4548,zoom,0.5945,0.5605,-0.8987,297.9641,37.7318,v1.0,1,1e-05,203,0.803907,0.335698,0.287438,2.973244,3.96,1.31,0.2763,0.6414,0.7474,0.6987,train,0.5433,0,low
735,A dramatic night sky at sunset,technology,watercolor,medium,cool,16:9,156,20,0.8222,0.3831,0.9558,0.1965,1280,768,3,8,0.2846,0.4337,0.6704,0.359,0.7865,0.5864,0.5329,0.9605,0.4241,0.4616,0.8394,174.5874,1.4547,0.666,46.6197,14.4639,22.891,78,5.7926,924859,30,16.15,1366,480,480,4577,0.1295,0.6348,0.9144,0.9779,wipe,0.6827,0.7671,-0.4317,267.1834,13.1266,v3.0,4,0.001,383,0.999927,0.940355,1.261484,0.330238,2.16,1.13,0.6537,0.5244,0.3045,0.7323,train,0.7211,1,medium
736,An amazing night sky during storm,technology,watercolor,ultra,warm,21:9,114,21,0.7784,0.6256,0.9949,0.3893,256,256,3,32,0.1894,0.5821,0.7705,0.7437,0.5159,0.9853,0.5132,0.3669,0.4781,0.5661,0.4057,133.6391,2.033,0.6392,20.2445,19.0341,18.3165,13,2.8296,671050,24,23.62,1207,1080,720,7975,0.3842,0.7543,0.9172,0.5801,cut,0.5363,0.8598,-0.7148,170.5812,13.1775,v2.0,8,0.0001,84,0.363196,1.836632,0.917878,0.16847,4.68,1.49,0.7354,0.8826,0.4688,0.3571,validation,0.6449,0,medium
737,A vibrant forest scene during storm,animals,modern,professional,monochrome,9:16,47,19,0.2831,-0.123,0.8093,0.7768,1280,512,3,8,0.4013,0.8497,0.797,0.9855,0.2569,0.08,0.3517,0.5828,0.6781,0.5827,0.5911,39.4713,9.9093,0.6292,29.5535,6.2011,1.7993,85,16.5489,310547,24,11.76,504,480,720,6947,0.2634,0.6577,0.9588,0.6202,dissolve,0.7021,0.268,0.1379,66.054,12.3241,v3.0,4,0.0001,433,0.576524,0.539375,0.476802,0.26027,3.8,4.07,0.2867,0.5199,0.3744,0.829,train,0.665,0,medium
738,A realistic canyon view in fog,food,modern,low,cool,4:3,83,39,0.8823,-0.2694,0.9591,0.6499,512,512,4,16,0.0829,0.5113,0.8975,0.688,0.1082,0.9435,0.6707,0.6475,0.5559,0.2747,0.6331,182.1319,5.8127,0.8097,43.4612,9.0175,20.1023,38,15.4597,579554,24,11.35,1514,1920,1080,1765,0.1921,0.8145,0.8499,0.8123,zoom,0.4033,0.6029,-0.301,110.6198,42.4612,v1.0,2,0.001,247,0.874609,1.920791,0.610335,0.366782,1.69,2.41,0.8818,0.8163,0.2367,0.771,train,0.6709,0,medium
739,A realistic night sky under stars,architecture,oil_painting,high,neutral,21:9,54,12,0.2213,-0.3428,0.9314,0.735,1920,512,3,8,0.1253,0.9616,0.2477,0.9684,0.1082,0.3442,0.8076,0.8887,0.6631,0.3973,0.4571,14.4509,2.6179,0.6762,45.6979,28.7837,9.6284,15,11.1013,777388,30,36.92,390,1080,720,2300,0.5022,0.6602,0.9574,0.9497,dissolve,0.5004,0.3538,-0.2054,99.0384,32.0034,v2.0,1,0.0005,23,1.366478,1.181599,0.818796,1.703323,2.94,2.35,0.4036,0.5392,0.2117,0.8765,train,0.6492,0,medium
740,An amazing desert dunes in fog,food,sketch,medium,dark,21:9,59,39,0.1983,0.3209,0.772,0.1948,768,256,4,8,0.2103,0.8271,0.7968,0.3555,0.5585,0.4685,0.5616,0.7498,0.8859,0.2159,0.7846,149.3459,6.051,0.6759,47.6894,4.9007,13.0222,60,1.8326,673841,24,43.14,336,1080,480,2694,0.2731,0.8308,0.9337,0.7051,cut,0.8101,0.5679,-0.281,281.4594,14.4162,v1.0,8,0.001,285,0.336723,1.901491,0.909974,1.187113,4.85,1.2,0.0043,0.8078,0.6877,0.9414,train,0.6969,1,medium
741,A dynamic desert dunes during storm,architecture,artistic,low,dark,21:9,144,31,0.416,0.0371,0.9706,0.2426,256,1024,3,8,0.4469,0.456,0.8527,0.9545,0.8715,0.1847,0.3439,0.5927,0.3002,0.754,0.4711,58.5779,3.1621,0.6994,28.9838,14.5188,13.8991,20,1.3827,660424,30,44.24,1403,1080,720,9674,0.7302,0.1138,0.8973,0.9331,cut,0.9486,0.6018,0.103,294.4138,28.5405,v3.0,1,5e-05,233,0.975064,0.335093,0.022097,2.963392,4.88,2.5,0.1615,0.8218,0.4193,0.362,train,0.6933,1,medium
742,A vibrant urban street in blue hour,food,cartoon,high,pastel,4:3,121,18,0.8979,-0.0554,0.605,0.6979,1920,256,3,8,0.0664,0.9434,0.8578,0.9569,0.5465,0.9897,0.3993,0.7657,0.3437,0.8587,0.6954,172.7159,3.3997,0.9228,41.5123,20.5393,11.0291,15,10.5827,620495,30,39.18,12,480,720,6019,0.7216,0.744,0.5861,0.9699,pan,0.368,0.1288,-0.8545,57.3602,42.1018,v2.0,2,0.0001,195,0.648244,2.319523,1.380587,1.543834,2.53,4.26,0.0172,0.7852,0.281,0.515,train,0.7185,1,medium
743,An amazing night sky during storm,sports,artistic,medium,pastel,16:9,21,27,0.7259,-0.7985,0.9424,0.4346,1024,1024,3,8,0.388,0.4613,0.2255,0.5768,0.3343,0.2658,0.4892,0.7665,0.3075,0.9225,0.4056,51.9575,3.2255,0.6959,47.498,1.1741,20.1772,51,17.0243,984289,24,23.59,1732,1920,720,5258,0.4002,0.7473,0.6909,0.4361,zoom,0.3734,0.4114,0.5153,228.0918,38.0439,v3.0,4,0.0005,342,0.11983,2.339395,0.998855,2.466467,1.97,4.75,0.0397,0.6985,0.2401,0.5415,train,0.6263,0,low
744,A colorful urban street during storm,abstract,watercolor,ultra,vibrant,3:2,150,24,0.4552,0.3467,0.6547,0.4323,768,256,3,8,0.4943,0.6801,0.6615,0.3698,0.2254,0.2058,0.8126,0.718,0.6411,0.8899,0.6222,54.1125,7.2892,0.7108,21.9568,5.6216,16.192,94,9.9474,86610,30,53.43,539,1080,720,3547,0.4413,0.1969,0.8801,0.9601,zoom,0.743,0.7586,0.011,145.6244,17.1298,v1.0,2,0.0005,78,0.357088,1.044309,0.327623,1.76261,3.25,2.72,0.8546,0.7053,0.3705,0.5445,train,0.7932,1,high
745,A stunning old castle during eclipse,abstract,oil_painting,medium,cool,3:2,33,10,0.2415,0.4508,0.5153,0.4534,768,512,4,8,0.3751,0.7181,0.8028,0.9753,0.3964,0.0126,0.7753,0.9115,0.8652,0.623,0.9419,180.5174,7.2551,0.5907,41.3981,24.4305,22.6017,84,19.5593,133266,60,3.64,91,1080,720,4984,0.1063,0.533,0.9798,0.5695,cut,0.3439,0.5546,0.9084,56.6676,26.768,v1.5,8,0.0001,464,1.758462,0.292035,0.904445,0.303067,3.64,3.41,0.0761,0.7898,0.2948,0.5224,validation,0.7479,1,high
746,A colorful arctic tundra during eclipse,portrait,watercolor,high,dark,21:9,118,28,0.7421,-0.6076,0.8935,0.8163,1280,1024,3,8,0.2751,0.5711,0.3315,0.9143,0.9042,0.7227,0.6656,0.3273,0.4573,0.5239,0.4789,153.6185,7.38,0.7217,43.7,4.3171,8.8731,20,15.6776,373166,24,27.49,1233,720,1080,2980,0.5617,0.5127,0.554,0.5372,cut,0.6175,0.442,0.8359,247.3677,7.0505,v1.5,8,0.0001,98,0.243566,0.920254,0.557533,2.052378,3.72,3.93,0.9503,0.7656,0.5218,0.9106,train,0.6235,0,low
747,A beautiful waterfall at sunset,fashion,artistic,ultra,warm,1:1,87,27,0.6392,0.5194,0.965,0.7291,1280,512,3,16,0.2792,0.487,0.6033,0.9716,0.536,0.0197,0.1694,0.4482,0.4553,0.5836,0.5773,145.2656,9.4544,0.5931,30.054,8.9888,7.3849,16,7.6468,195378,24,47.61,1028,720,1080,2834,0.8562,0.9131,0.6098,0.761,cut,0.5785,0.7364,-0.4658,55.8201,40.489,v1.0,8,0.0005,246,1.395956,0.298117,1.248885,2.702766,2.08,1.14,0.2466,0.6412,0.4874,0.8269,train,0.6414,0,medium
748,An amazing mountain landscape during eclipse,abstract,watercolor,professional,neutral,1:1,66,16,0.9889,0.7588,0.6084,0.1954,768,256,4,16,0.0821,0.3431,0.5231,0.4989,0.2115,0.1993,0.4665,0.4428,0.5382,0.5355,0.85,37.508,2.7643,0.7453,46.6682,7.7754,3.9021,30,13.4921,86102,24,42.2,565,720,480,6091,0.8386,0.4832,0.736,0.8606,cut,0.9344,0.5595,-0.7091,299.6032,42.1194,v3.0,8,0.0001,470,1.096697,2.468982,0.258958,2.14099,4.86,1.18,0.4426,0.9858,0.9433,0.3823,train,0.7368,1,medium
749,A vibrant old castle in fog,abstract,modern,medium,vibrant,4:3,113,6,0.789,-0.6508,0.767,0.4099,768,768,3,16,0.2195,0.8981,0.3284,0.5199,0.3142,0.0477,0.7625,0.9723,0.397,0.4161,0.9745,136.2968,5.5483,0.5647,31.6112,8.0161,22.462,34,14.6008,412558,30,37.28,1482,720,480,1521,0.454,0.744,0.6805,0.4413,pan,0.716,0.2242,-0.2844,231.4624,35.428,v2.1,8,0.0001,129,1.692121,1.816216,0.283629,0.850835,3.82,1.49,0.6469,0.6251,0.2741,0.4688,train,0.6242,0,low
750,A colorful tropical beach during eclipse,nature,sketch,low,cool,16:9,70,31,0.1919,-0.0959,0.8747,0.7064,512,1024,3,16,0.2651,0.4167,0.4741,0.6484,0.9964,0.507,0.7099,0.4456,0.3203,0.4095,0.708,136.7797,9.8108,0.5224,28.9264,29.3105,18.4028,11,11.941,771288,30,49.52,1631,720,1080,8195,0.6913,0.7554,0.902,0.7843,pan,0.4791,0.4066,-0.4781,219.5628,21.0253,v1.5,2,0.001,345,0.852201,2.073998,0.334452,1.356324,2.03,3.61,0.4474,0.8062,0.7915,0.847,train,0.7559,1,high
751,A beautiful autumn forest in blue hour,nature,cinematic,ultra,warm,4:3,67,36,0.7554,0.7524,0.6658,0.9785,1024,256,3,8,0.2492,0.4731,0.4112,0.7079,0.5821,0.6591,0.7334,0.338,0.7308,0.9333,0.4186,161.2791,7.0148,0.9969,31.8402,20.0471,10.7872,35,19.7316,815420,30,42.1,703,1080,1080,5200,0.167,0.2613,0.6731,0.8016,cut,0.4761,0.4587,0.0057,53.0667,40.4043,v2.0,1,0.0001,147,1.720229,0.006765,1.403472,2.033463,4.08,3.73,0.0742,0.5583,0.9841,0.9881,train,0.6766,0,medium
752,A vibrant old castle under stars,portrait,artistic,ultra,cool,16:9,174,33,0.3317,-0.0254,0.5735,0.921,512,512,3,8,0.0558,0.882,0.7948,0.7105,0.1902,0.7179,0.3234,0.5278,0.9693,0.7388,0.6465,179.6116,5.6798,0.6233,33.7377,2.4283,4.5038,56,11.0046,313410,30,5.6,349,480,360,5038,0.197,0.6649,0.9137,0.5091,fade,0.6627,0.9061,-0.1996,82.0575,26.7624,v3.0,8,0.0005,361,0.68706,1.923085,0.742911,2.32146,4.13,1.09,0.9569,0.9259,0.9045,0.8524,train,0.7859,1,high
753,A serene ocean view at dawn,fashion,cartoon,professional,warm,9:16,96,37,0.9657,0.6305,0.6961,0.3234,512,1280,3,8,0.0759,0.5337,0.7133,0.448,0.4153,0.3781,0.4489,0.5836,0.9289,0.7015,0.4585,150.452,3.4595,0.6733,44.9391,4.9085,16.534,69,12.9259,437756,24,57.17,315,720,720,5915,0.414,0.0432,0.841,0.6831,cut,0.705,0.89,0.8683,241.1914,10.2867,v2.1,16,0.0005,195,1.174443,1.506756,0.423378,1.205978,1.73,4.02,0.9908,0.9971,0.279,0.7212,train,0.7176,1,medium
754,A vibrant autumn forest in morning light,animals,cartoon,medium,monochrome,1:1,144,33,0.1173,-0.5685,0.7283,0.1594,1024,1080,3,32,0.1259,0.7475,0.2046,0.3203,0.1372,0.142,0.8193,0.9119,0.3153,0.6438,0.973,103.7088,5.2177,0.6597,28.0421,22.6182,19.1617,42,6.7514,8973,12,13.76,1179,1080,480,3504,0.7692,0.3472,0.5426,0.5458,none,0.3912,0.5313,-0.7668,57.7736,12.109,v1.5,1,5e-05,42,1.652447,1.221388,1.188793,2.799552,4.25,3.11,0.3604,0.9034,0.9767,0.6777,train,0.739,1,high
755,A beautiful forest scene in golden hour,nature,modern,low,cool,4:3,132,37,0.3145,-0.8721,0.8711,0.6159,256,768,3,8,0.2608,0.7084,0.5899,0.9466,0.1313,0.5416,0.471,0.7853,0.6934,0.4555,0.7836,68.3752,6.2036,0.9037,24.8661,2.3252,15.1821,13,18.5309,740230,24,48.12,461,720,360,8151,0.3656,0.2876,0.6781,0.6675,cut,0.8747,0.614,0.6118,252.1749,40.3599,v1.0,4,1e-05,267,0.838255,0.05462,1.451964,2.904964,4.17,4.44,0.7951,0.9005,0.9427,0.5535,train,0.6795,0,medium
756,A dramatic autumn forest in golden hour,animals,sketch,professional,cool,9:16,196,21,0.5491,-0.8811,0.5993,0.4656,1024,1280,3,16,0.0803,0.8522,0.2223,0.8218,0.8284,0.0218,0.8978,0.6377,0.4552,0.5788,0.815,103.4103,1.0796,0.7016,28.0903,19.6559,14.1728,76,19.598,62625,60,36.16,102,720,480,4193,0.769,0.8691,0.7249,0.7179,none,0.727,0.6505,-0.6546,81.2649,23.7508,v2.0,8,0.0001,174,0.930321,0.730812,0.906868,0.448733,2.59,4.35,0.4614,0.5268,0.5821,0.3363,train,0.6197,0,low
757,A detailed arctic tundra during eclipse,landscape,photorealistic,medium,monochrome,3:2,171,14,0.1712,0.9447,0.9076,0.2651,256,1080,3,8,0.1394,0.7537,0.8456,0.383,0.1327,0.3477,0.4059,0.6043,0.3322,0.9773,0.6608,78.109,6.6446,0.7409,36.4699,25.5647,19.2905,99,4.6813,520550,60,17.78,1358,1920,480,8328,0.2176,0.9397,0.6595,0.5781,zoom,0.4518,0.3834,-0.807,149.3533,40.4164,v3.0,8,0.001,394,1.095252,1.389727,0.540384,0.301025,2.11,2.48,0.689,0.5712,0.9858,0.5401,train,0.685,1,medium
758,A stunning arctic tundra in rain,nature,photorealistic,low,dark,1:1,29,5,0.4097,-0.6706,0.7511,0.6865,768,1280,3,8,0.171,0.5703,0.2269,0.7317,0.8353,0.915,0.6627,0.2411,0.8777,0.8301,0.7865,112.1445,6.916,0.9066,49.327,9.7634,11.8299,17,16.1435,793519,24,4.53,1253,720,360,3830,0.5662,0.5976,0.8312,0.815,fade,0.9159,0.6108,0.1614,145.9585,34.6405,v3.0,2,0.0001,345,1.397183,2.152055,1.244152,0.879563,4.76,2.73,0.5564,0.6311,0.6672,0.7409,train,0.7714,1,high
759,A realistic tropical beach during storm,sports,digital_art,low,vibrant,16:9,154,21,0.5475,0.7298,0.9519,0.2443,1920,768,3,8,0.3347,0.8911,0.3286,0.4338,0.1126,0.8014,0.6944,0.3015,0.7154,0.2662,0.8097,144.9569,1.7315,0.75,20.7832,4.5796,1.4434,50,17.2031,562350,12,50.46,21,720,480,7874,0.4217,0.8205,0.6268,0.4554,none,0.5113,0.8967,-0.926,189.9547,37.8756,v3.0,8,0.0005,62,1.881141,0.365328,1.462927,2.871643,3.01,1.88,0.9393,0.5689,0.237,0.5962,test,0.573,0,low
760,A realistic night sky in blue hour,fashion,digital_art,high,cool,21:9,135,32,0.5022,-0.3685,0.7829,0.4163,512,512,3,16,0.1667,0.7501,0.3418,0.3282,0.7001,0.3798,0.1931,0.259,0.8134,0.2427,0.4599,173.1272,4.7034,0.72,47.2619,13.9501,5.6975,54,12.1794,316142,30,19.13,1005,720,720,2748,0.1541,0.285,0.584,0.4858,cut,0.3485,0.8814,0.9686,200.0976,17.8625,v2.1,16,5e-05,398,0.155356,0.459919,0.108953,1.018817,2.34,3.51,0.48,0.8862,0.4541,0.7622,train,0.5347,0,low
761,An amazing arctic tundra in fog,portrait,artistic,low,cool,3:2,36,31,0.5145,-0.9198,0.7234,0.8151,768,1280,4,8,0.3488,0.6154,0.7622,0.42,0.8254,0.6447,0.2925,0.9782,0.5179,0.2638,0.5941,128.8794,5.1063,0.7758,28.6902,20.2518,2.8667,55,13.206,364935,24,25.96,318,720,480,1826,0.823,0.3721,0.5518,0.6936,pan,0.6067,0.6726,0.7867,16.6803,45.3424,v1.5,4,0.0001,97,0.930917,1.512543,0.224199,1.762262,3.87,2.03,0.7753,0.7027,0.2989,0.7679,train,0.5829,0,low
762,A serene city skyline under stars,landscape,modern,medium,vibrant,3:2,41,29,0.8911,-0.518,0.6434,0.7159,512,1280,4,32,0.0755,0.5566,0.5276,0.8069,0.3379,0.3834,0.704,0.9163,0.9315,0.8575,0.8614,189.3047,7.7424,0.7517,34.4154,8.1388,8.796,54,6.7176,824844,30,44.55,557,1080,1080,3029,0.564,0.9165,0.6853,0.5991,cut,0.4385,0.1822,0.6134,198.1563,15.6099,v2.1,1,0.001,404,0.44569,0.306563,0.562283,2.18922,3.75,3.91,0.8904,0.9996,0.3014,0.7682,train,0.807,1,high
763,A serene ocean view during storm,fashion,modern,professional,vibrant,9:16,78,38,0.5548,0.011,0.5531,0.6464,1280,256,3,16,0.1418,0.7247,0.3171,0.6454,0.3718,0.6493,0.7653,0.6078,0.7035,0.2142,0.9791,137.8185,7.7524,0.6533,31.3363,17.1847,2.3676,69,18.8999,397871,24,51.98,703,1920,1080,2271,0.6501,0.7166,0.5607,0.5764,wipe,0.8966,0.2515,0.5687,201.4614,38.8198,v2.0,16,5e-05,456,1.818803,0.001541,1.116001,2.494154,2.63,3.19,0.2649,0.7573,0.8529,0.4929,validation,0.6256,0,low
764,An amazing mountain landscape under stars,sports,watercolor,professional,pastel,4:3,63,7,0.9469,-0.7865,0.6859,0.9377,512,768,3,8,0.2116,0.3136,0.2968,0.5035,0.9518,0.899,0.4927,0.2907,0.7799,0.2783,0.8879,128.2344,4.3882,0.8638,47.0444,3.1365,10.8854,77,16.2377,944610,24,53.87,1210,720,1080,3126,0.4401,0.6269,0.9636,0.4137,none,0.5658,0.3197,0.998,270.15,8.7133,v2.0,8,5e-05,339,1.906918,0.400254,0.745527,1.534493,1.33,3.59,0.957,0.9873,0.9041,0.34,train,0.6739,0,medium
765,A dramatic waterfall during eclipse,fashion,cartoon,high,pastel,21:9,30,33,0.233,0.8443,0.7068,0.2129,512,1080,3,16,0.1328,0.8253,0.4633,0.8238,0.3275,0.6502,0.443,0.9972,0.6859,0.6319,0.6873,16.8755,3.9892,0.9345,42.7091,14.9904,22.2458,11,14.3472,551376,24,23.17,1572,1920,720,6560,0.3685,0.1782,0.6609,0.5168,dissolve,0.6668,0.8877,-0.1296,75.0947,32.1643,v1.0,8,0.0005,74,0.459584,2.286509,0.736888,2.671655,3.44,2.91,0.6613,0.5899,0.9581,0.9621,train,0.6982,1,medium
766,A dramatic ocean view during storm,sports,cartoon,medium,dark,4:3,61,39,0.3522,0.7998,0.7841,0.7219,512,1024,3,16,0.092,0.8146,0.5975,0.6334,0.2293,0.4056,0.1386,0.4013,0.9431,0.3897,0.7987,54.0193,1.8262,0.9238,29.3659,23.0441,19.0629,18,2.783,346225,12,29.02,227,720,480,5116,0.8061,0.5533,0.8993,0.9865,fade,0.309,0.5493,0.1562,184.641,23.392,v2.0,2,0.0005,305,0.672681,2.470989,0.871269,0.51488,3.82,1.35,0.5885,0.7173,0.7524,0.3209,train,0.664,0,medium
767,A realistic canyon view during eclipse,sports,cartoon,low,vibrant,9:16,42,14,0.6909,-0.7017,0.9299,0.2056,256,1280,3,32,0.4862,0.6288,0.7569,0.5546,0.2789,0.0416,0.3165,0.7384,0.566,0.8305,0.8919,108.4049,3.4808,0.7739,31.6579,28.6836,14.8537,92,2.8509,640226,30,54.6,1145,1080,480,9305,0.4317,0.099,0.9243,0.7487,pan,0.7207,0.9162,0.8994,295.3237,47.7767,v2.1,1,0.0001,419,1.007713,2.194978,0.226416,1.900598,1.8,4.38,0.9347,0.9277,0.6782,0.4944,train,0.827,1,high
768,A realistic ocean view during storm,animals,oil_painting,high,monochrome,3:2,137,5,0.3548,0.4742,0.7319,0.2227,1280,256,3,8,0.3282,0.5703,0.7427,0.3542,0.2229,0.2472,0.8158,0.3265,0.9258,0.8294,0.7635,74.524,5.6902,0.6986,42.9742,13.7836,14.2144,40,16.0385,263517,24,34.16,1589,720,360,9386,0.3562,0.9139,0.7091,0.9736,pan,0.7041,0.3378,0.9292,121.884,12.852,v1.5,2,0.0001,18,0.432611,1.952396,0.166071,1.130324,4.58,4.22,0.9461,0.8398,0.8239,0.5801,train,0.8143,1,high
769,A serene night sky in golden hour,food,sketch,ultra,neutral,1:1,81,5,0.4125,-0.0786,0.6571,0.5558,256,768,3,16,0.0106,0.8618,0.2278,0.3828,0.1573,0.3549,0.6668,0.877,0.7222,0.5377,0.5156,169.9675,7.603,0.61,42.3168,15.0269,21.3697,71,6.7029,939423,24,53.96,815,1920,720,5193,0.5329,0.5551,0.834,0.9549,dissolve,0.5092,0.3651,0.951,287.6172,31.2341,v3.0,8,1e-05,371,1.172665,2.280459,1.262069,2.917894,4.39,2.72,0.9651,0.7448,0.8539,0.4808,train,0.6747,0,medium
770,A serene canyon view under stars,landscape,vintage,medium,dark,3:2,130,36,0.9109,0.9643,0.9366,0.1217,1024,1080,3,8,0.0935,0.4097,0.6542,0.4894,0.8045,0.6964,0.7506,0.5441,0.8979,0.4542,0.6248,45.6496,1.9363,0.6798,43.3177,27.9585,23.5128,43,4.3004,652566,24,50.35,586,1080,480,5814,0.2626,0.7424,0.6648,0.6387,pan,0.5677,0.4432,-0.1484,283.7556,47.9083,v1.5,1,0.0005,180,0.079353,0.732102,1.463287,1.270301,1.34,4.39,0.9606,0.7368,0.7718,0.8962,train,0.6601,0,medium
771,A serene mountain landscape in morning light,fashion,watercolor,high,warm,9:16,73,26,0.5847,-0.8892,0.867,0.5509,1024,1080,4,32,0.3301,0.8182,0.2113,0.4894,0.2885,0.2858,0.1753,0.9011,0.8048,0.7037,0.7308,36.9218,8.0302,0.9731,43.2486,24.0573,11.636,52,17.8674,703736,12,36.29,125,1080,720,1324,0.835,0.2297,0.9661,0.9376,none,0.5201,0.3465,-0.4663,209.5535,22.427,v2.0,4,0.0001,45,1.039912,2.41637,0.884723,2.232988,1.22,4.72,0.1315,0.5301,0.6709,0.3924,train,0.6972,1,medium
772,A dramatic night sky in golden hour,architecture,photorealistic,professional,vibrant,3:2,101,23,0.4012,-0.0579,0.6535,0.1085,1280,1024,3,8,0.1772,0.3188,0.5991,0.448,0.7621,0.8517,0.6035,0.6182,0.6081,0.637,0.818,93.0894,6.7216,0.6442,39.1224,5.4951,19.0566,14,9.6581,556703,24,24.5,1655,1080,1080,9039,0.6872,0.9077,0.9427,0.8525,dissolve,0.7034,0.3146,0.7381,6.1117,15.7005,v3.0,16,5e-05,428,1.164784,2.425769,0.58408,0.839431,4.38,1.69,0.5887,0.7932,0.8226,0.8188,train,0.8621,1,very_high
773,A detailed ocean view during eclipse,landscape,modern,high,pastel,21:9,138,39,0.799,-0.4291,0.5835,0.6422,1024,1024,3,8,0.2547,0.9357,0.3232,0.3715,0.1217,0.8691,0.2428,0.3893,0.3717,0.3578,0.859,91.6837,9.8018,0.7954,31.2871,15.9229,5.3953,53,3.2059,335439,60,5.94,330,720,720,2450,0.1446,0.2357,0.815,0.4036,fade,0.9789,0.8114,-0.1409,56.2312,34.5795,v1.5,4,5e-05,483,1.553416,2.023072,1.228997,0.874508,1.9,2.29,0.1919,0.5463,0.8175,0.9623,train,0.66,0,medium
774,A realistic mountain landscape at sunset,food,photorealistic,ultra,cool,3:2,128,10,0.1636,0.4528,0.6455,0.3808,768,1280,3,8,0.3998,0.9666,0.8026,0.732,0.2889,0.5504,0.4422,0.3348,0.5713,0.7426,0.416,197.0105,5.6686,0.7986,32.1406,10.2809,19.8248,87,9.0031,559801,24,47.26,875,720,720,4554,0.5274,0.7731,0.9146,0.6829,cut,0.3831,0.6928,0.3151,171.0392,26.9864,v1.0,16,0.0001,353,1.312914,0.125689,1.294618,2.686205,4.03,1.45,0.3877,0.7576,0.8145,0.9392,train,0.7356,1,medium
775,A vibrant autumn forest during eclipse,landscape,oil_painting,medium,vibrant,3:2,131,38,0.6073,-0.7777,0.5618,0.1749,256,512,4,16,0.0579,0.8057,0.4685,0.6438,0.2685,0.7801,0.2877,0.2818,0.9675,0.5834,0.739,121.6799,1.0291,0.6001,33.0571,17.4433,3.4588,11,15.7492,572852,30,54.91,165,1920,480,9913,0.7727,0.5763,0.521,0.6251,pan,0.8041,0.3171,-0.6077,284.357,33.972,v2.0,8,5e-05,480,1.833725,0.747213,0.21582,0.395523,2.95,3.5,0.0026,0.7449,0.6238,0.4359,train,0.624,0,low
776,A serene desert dunes in blue hour,abstract,photorealistic,high,vibrant,3:2,32,19,0.1897,0.2562,0.9517,0.8028,512,768,3,8,0.3206,0.8234,0.7889,0.7445,0.2036,0.5899,0.2322,0.3764,0.8527,0.3885,0.9344,53.1871,4.0767,0.6555,34.6154,19.9286,15.6179,77,19.3407,628448,30,24.28,1586,1080,480,6691,0.8217,0.7861,0.5681,0.7012,wipe,0.3091,0.7785,-0.1067,164.3895,24.9368,v2.1,1,5e-05,160,1.763381,1.65278,0.560815,1.545076,1.98,2.49,0.3363,0.7594,0.3392,0.717,train,0.6734,0,medium
777,A beautiful waterfall in morning light,architecture,cartoon,low,pastel,1:1,87,7,0.2592,0.8961,0.8059,0.4509,768,256,3,8,0.2449,0.5563,0.8404,0.6321,0.7731,0.5947,0.154,0.7891,0.3524,0.3613,0.672,145.5347,6.0601,0.6675,27.0922,24.7405,6.1349,32,18.9959,48523,30,43.67,151,1080,720,8861,0.7599,0.8662,0.889,0.6629,wipe,0.7534,0.8716,0.0659,27.2846,16.1299,v3.0,2,0.001,188,0.167473,0.997649,0.300994,1.705015,3.18,3.82,0.1068,0.9486,0.2953,0.9085,train,0.7627,1,high
778,A dramatic forest scene under stars,food,cinematic,medium,pastel,16:9,126,26,0.1562,-0.0922,0.9318,0.4996,512,768,3,16,0.1129,0.9146,0.48,0.7227,0.7386,0.5686,0.2725,0.265,0.3309,0.9955,0.7484,131.4819,6.9431,0.9519,35.079,25.7819,22.6194,38,14.0472,94663,30,34.44,503,1080,480,6293,0.8476,0.3354,0.5888,0.9598,zoom,0.6213,0.6488,-0.997,7.6004,47.9505,v3.0,16,0.0001,188,0.107988,0.471702,1.0681,2.338423,3.42,2.5,0.4708,0.8605,0.7427,0.5241,test,0.7687,1,high
